Date,Merchant,Amount,Type,Fraudulent
2024-11-17,Designer Boutique,"4,453",POS,False
2024-04-30,Hotel Taj,"12,502",Contactless,False
2023-08-14,Suspicious Store,"106,228",UPI,True
2023-06-20,BigBasket,"3,518",UPI,False
2024-11-30,Corner Grocery,438,Online,False
2023-12-07,Local Electronics Store,"4,437",POS,False
2024-08-07,Suspicious Store,"4,951",ATM,False
2023-04-27,Recharge Portal,"46,253",Transfer,False
2024-01-10,Ola Cabs,"1,351",Contactless,False
2024-03-28,PhonePe,"144,695",UPI,False
2023-10-07,Utility - Water,"14,528",POS,False
2023-06-08,Axis Bank ATM,"4,218",Contactless,False
2024-01-06,BookShop,"4,887",ATM,False
2023-04-24,Unknown Merchant,780,Transfer,False
2023-02-01,BigBasket,"2,206",Online,False
2023-10-24,Swiggy,"2,515",POS,False
2024-10-09,Amazon India,261,Contactless,False
2023-03-23,Axis Bank ATM,552,UPI,False
2024-01-01,Luxury Outlet,55,POS,False
2024-06-10,Subscription - Spotify,"2,910",Online,False
2024-07-29,Myntra,"3,758",POS,False
2024-11-22,Ola Cabs,"3,659",Online,False
2024-04-26,Hotel Taj,"32,063",ATM,False
2024-01-11,Utility - Electricity,"1,789",POS,False
2024-05-01,Utility - Electricity,"2,318",UPI,False
2024-06-15,Subscription - Netflix,604,Online,False
2023-06-22,Uber,"4,074",Contactless,False
2024-12-29,Cinemaplex,"28,588",Transfer,False
2023-07-15,Local POS Stall,"2,714",POS,False
2024-06-28,Corner Grocery,"3,612",UPI,False
2023-10-07,Luxury Outlet,"28,691",ATM,False
2024-10-16,Luxury Outlet,"230,616",ATM,False
2024-12-01,Subscription - Spotify,142,ATM,False
2024-01-19,Subscription - Netflix,"1,085",ATM,False
2024-07-28,Flipkart,"4,830",Online,False
2023-03-03,Pharmacy Plus,"2,184",UPI,False
2023-05-14,PhonePe,"19,019",UPI,False
2023-09-22,Subscription - Spotify,"4,683",POS,False
2024-12-28,Gold Loan,"3,955",Contactless,False
2024-09-16,Axis Bank ATM,"4,723",POS,False
2023-01-01,Ola Cabs,"1,637",ATM,False
2024-03-08,Jewellery House,"4,549",Online,False
2024-07-03,Pharmacy Plus,"1,387",POS,False
2023-10-30,Axis Bank ATM,"2,929",Contactless,False
2024-01-28,Corner Grocery,571,POS,False
2023-10-10,Ola Cabs,"3,504",POS,False
2024-08-31,Utility - Electricity,"41,236",POS,False
2023-08-15,Amazon India,"4,472",Online,False
2024-06-10,Local POS Stall,"3,884",UPI,False
2023-11-23,Axis Bank ATM,"3,671",UPI,False
2024-05-05,Amazon India,842,ATM,False
2024-03-31,Axis Bank ATM,"2,610",Contactless,False
2023-11-26,Subscription - Netflix,"48,777",ATM,False
2024-12-31,Axis Bank ATM,"34,906",Contactless,False
2024-10-21,Local POS Stall,"3,666",POS,False
2024-11-09,Suspicious Store,"96,481",Transfer,True
2024-11-23,Flipkart,"4,529",Contactless,False
2023-07-08,Paytm Mall,"2,088",ATM,False
2024-02-16,SBI ATM,"3,535",ATM,False
2024-11-01,Local POS Stall,447,Transfer,False
2024-09-02,Cinemaplex,"2,083",UPI,False
2024-01-31,Pharmacy Plus,89,UPI,False
2024-09-11,Myntra,"3,921",ATM,False
2024-12-19,Hotel Taj,"23,822",UPI,False
2024-03-01,BookShop,"3,969",Online,False
2023-04-28,Local Electronics Store,538,UPI,False
2023-09-13,PhonePe,"1,916",POS,False
2024-08-22,SBI ATM,"1,954",UPI,False
2024-01-12,Recharge Portal,"4,384",Transfer,False
2024-10-19,Luxury Outlet,"3,492",Transfer,False
2024-08-07,Gold Loan,175,Online,False
2024-03-15,Hotel Taj,"3,334",UPI,False
2024-09-11,Myntra,"28,296",POS,False
2023-05-02,Ola Cabs,"1,340",Online,False
2024-07-18,Cinemaplex,651,Online,False
2023-04-21,Corner Grocery,"3,396",POS,False
2023-08-03,Swiggy,"3,296",Transfer,False
2023-01-23,Gold Loan,"1,584",POS,False
2023-01-10,PhonePe,"2,925",UPI,False
2023-07-07,Luxury Outlet,"4,933",Transfer,False
2023-07-18,Luxury Outlet,"1,520",POS,False
2023-01-08,Pharmacy Plus,"26,731",ATM,False
2024-06-21,Subscription - Netflix,"1,580",Contactless,False
2023-05-22,Unknown Merchant,"3,642",POS,False
2023-02-27,Local Electronics Store,"3,530",Contactless,False
2023-12-23,Swiggy,"8,769",ATM,False
2023-10-15,Utility - Electricity,"1,316",ATM,False
2023-08-07,Suspicious Store,649,ATM,False
2023-06-12,Local POS Stall,"1,627",Online,False
2024-11-11,IRCTC,"3,262",Contactless,False
2023-08-08,Uber,"1,008",ATM,False
2024-05-03,BookShop,"23,854",POS,False
2023-09-26,Pharmacy Plus,"4,732",Contactless,False
2023-07-20,Unknown Merchant,"1,342",Online,False
2024-02-02,Luxury Outlet,"1,779",POS,False
2024-10-09,Utility - Water,"1,376",ATM,False
2023-07-28,Local POS Stall,"17,109",Contactless,False
2023-12-11,Subscription - Netflix,"26,157",Online,False
2023-05-02,Recharge Portal,"3,791",Contactless,False
2023-03-09,Local POS Stall,902,UPI,False
2023-07-09,BigBasket,"22,040",POS,False
2024-06-05,Gold Loan,"1,823",UPI,False
2023-11-15,Subscription - Spotify,"4,322",ATM,False
2024-11-19,Local Electronics Store,"31,642",UPI,False
2024-03-20,Utility - Water,825,ATM,False
2024-11-20,Pharmacy Plus,"177,883",ATM,False
2024-04-01,BigBasket,"1,204",Transfer,False
2023-10-01,Paytm Mall,802,Online,False
2024-12-21,Suspicious Store,"4,142",UPI,False
2024-04-14,Axis Bank ATM,"4,753",Transfer,False
2023-02-16,Recharge Portal,"2,577",Contactless,False
2024-09-01,Designer Boutique,"1,295",ATM,False
2023-07-22,BookShop,"2,971",Transfer,False
2024-04-12,Uber,"36,377",UPI,False
2024-11-02,Cinemaplex,"4,121",Contactless,False
2023-07-22,Luxury Outlet,"5,700",Contactless,False
2024-08-14,Myntra,238,POS,False
2023-05-07,Hotel Taj,"4,558",Online,False
2024-12-15,Ola Cabs,"37,272",Contactless,True
2023-03-16,Subscription - Netflix,"1,013",Contactless,False
2024-12-17,Paytm Mall,"3,964",Online,False
2024-11-08,SBI ATM,"2,992",POS,False
2023-01-20,Designer Boutique,"4,386",ATM,False
2024-08-08,Uber,"3,137",UPI,False
2024-01-21,Jewellery House,"1,317",Transfer,False
2023-03-13,Axis Bank ATM,"1,171",Online,False
2024-05-27,Paytm Mall,"2,878",UPI,False
2023-09-25,Gold Loan,"1,036",Online,False
2024-10-16,Uber,"4,037",Contactless,False
2023-08-07,Myntra,985,Contactless,False
2024-04-20,Unknown Merchant,"3,909",POS,False
2023-12-10,Gold Loan,"3,558",UPI,False
2024-08-31,BookShop,"1,333",Transfer,False
2024-08-20,Flipkart,"3,351",Contactless,False
2024-09-11,Pharmacy Plus,"2,407",Online,False
2023-01-08,Local POS Stall,"7,616",Contactless,False
2024-02-07,Jewellery House,"17,639",POS,False
2023-11-03,Hotel Taj,"42,871",Transfer,False
2024-05-14,Uber,"1,415",ATM,False
2023-04-04,Uber,"4,227",Contactless,False
2024-09-24,Recharge Portal,"2,955",POS,False
2023-09-28,Cinemaplex,"3,344",Contactless,False
2024-07-15,Utility - Water,"16,332",ATM,False
2024-01-27,Recharge Portal,"7,504",Transfer,False
2024-10-23,IRCTC,"2,977",POS,False
2023-11-13,Gold Loan,"14,722",POS,False
2024-02-01,Pharmacy Plus,150,ATM,False
2024-02-12,Local POS Stall,"4,895",Transfer,False
2023-08-11,IRCTC,"44,241",POS,False
2024-06-03,Axis Bank ATM,"44,552",Contactless,False
2024-09-27,Recharge Portal,"2,056",Transfer,False
2023-11-11,Designer Boutique,"3,303",POS,False
2023-05-21,BigBasket,727,Contactless,False
2024-02-29,SBI ATM,"21,747",Contactless,False
2024-01-06,Hotel Taj,"4,064",Contactless,False
2023-06-15,SBI ATM,641,POS,False
2023-12-27,SBI ATM,173,Online,False
2024-08-02,Paytm Mall,"4,263",UPI,False
2024-07-02,SBI ATM,"283,320",POS,False
2024-03-28,Utility - Electricity,"4,430",Transfer,False
2024-07-26,Subscription - Spotify,"1,298",Online,False
2024-07-23,Corner Grocery,"3,848",Transfer,False
2024-10-15,BigBasket,"2,166",Online,False
2023-10-25,Recharge Portal,"4,564",Online,False
2024-09-15,Hotel Taj,"2,507",ATM,False
2024-08-30,Pharmacy Plus,"2,575",ATM,False
2024-06-27,Subscription - Netflix,"3,624",Contactless,False
2024-09-03,Local Electronics Store,"2,749",ATM,False
2023-04-22,Myntra,"3,675",Transfer,False
2024-01-21,Gold Loan,"1,590",ATM,False
2023-01-12,Jewellery House,"3,210",POS,False
2024-08-21,SBI ATM,"1,932",UPI,False
2024-04-15,PhonePe,"43,251",ATM,False
2023-04-29,Recharge Portal,"1,178",UPI,False
2024-03-08,Jewellery House,"4,103",Contactless,False
2023-12-13,PhonePe,"18,713",Contactless,False
2024-09-27,PhonePe,"2,953",ATM,False
2023-02-14,Hotel Taj,"29,081",POS,False
2024-11-27,Local POS Stall,"3,068",Online,False
2023-03-21,Jewellery House,"2,944",ATM,False
2024-01-12,Zomato,"1,197",POS,False
2023-11-09,Unknown Merchant,"2,668",UPI,False
2023-01-10,Amazon India,"6,059",Online,False
2023-03-25,Corner Grocery,"4,647",Contactless,False
2023-01-30,Subscription - Spotify,"1,138",ATM,False
2023-11-29,Hotel Taj,"8,666",POS,False
2024-07-31,Suspicious Store,"10,915",Transfer,False
2024-10-03,Uber,449,Online,False
2024-12-12,Subscription - Netflix,"16,784",Online,False
2024-01-27,Flipkart,"4,555",Online,False
2024-09-22,Subscription - Netflix,"2,671",Transfer,False
2023-12-26,Myntra,"4,377",Transfer,False
2024-06-09,Uber,"47,237",Online,False
2024-02-20,Pharmacy Plus,"1,929",Transfer,False
2023-08-08,BigBasket,"4,174",POS,False
2024-02-11,BookShop,"15,802",Transfer,False
2023-05-22,Subscription - Spotify,"4,510",Contactless,False
2024-05-25,Recharge Portal,"2,072",Online,False
2024-01-06,Myntra,"21,120",Contactless,False
2023-12-22,Myntra,"2,124",Contactless,False
2024-02-25,Cinemaplex,"4,738",Transfer,False
2023-04-04,Local Electronics Store,"15,971",Transfer,False
2024-12-19,Suspicious Store,"33,958",Transfer,False
2023-03-06,Local Electronics Store,"44,319",ATM,False
2024-08-24,Gold Loan,"264,508",Contactless,False
2024-10-03,Swiggy,"1,087",Transfer,False
2023-01-21,IRCTC,396,POS,False
2024-07-26,BigBasket,"4,387",POS,False
2023-10-10,Axis Bank ATM,"2,733",ATM,False
2023-02-21,Luxury Outlet,"3,534",ATM,False
2024-10-20,Zomato,"268,388",Contactless,False
2023-11-19,IRCTC,"1,487",Contactless,False
2024-01-02,Subscription - Netflix,"4,257",ATM,False
2023-09-29,Corner Grocery,"4,828",ATM,False
2024-10-24,Utility - Water,"4,862",Online,False
2024-11-04,Recharge Portal,"49,019",POS,False
2023-08-28,BigBasket,"2,626",Transfer,False
2024-08-08,Axis Bank ATM,"38,648",Transfer,False
2024-06-20,Pharmacy Plus,"2,338",UPI,False
2024-01-03,PhonePe,"3,334",ATM,False
2024-07-09,Zomato,"4,249",ATM,False
2023-01-21,Subscription - Spotify,"1,121",UPI,False
2023-10-05,Ola Cabs,"2,373",Contactless,True
2024-05-23,Ola Cabs,182,Transfer,False
2023-10-09,Local POS Stall,"2,783",UPI,False
2024-10-11,PhonePe,830,Contactless,False
2023-06-10,SBI ATM,"3,730",Transfer,False
2024-01-31,Zomato,"1,810",POS,False
2023-04-22,BigBasket,"2,572",Transfer,False
2023-06-13,Pharmacy Plus,"2,959",ATM,False
2023-08-15,Suspicious Store,"27,636",Online,False
2024-01-13,Subscription - Spotify,"1,306",Transfer,False
2023-02-22,Ola Cabs,"24,664",ATM,False
2024-06-26,Zomato,"3,847",Contactless,False
2024-05-29,Amazon India,"1,489",ATM,False
2023-07-17,PhonePe,"3,212",Contactless,False
2024-05-10,Ola Cabs,"3,085",Online,False
2023-06-06,BigBasket,"50,927",ATM,False
2023-11-05,Myntra,"44,236",ATM,False
2024-10-11,BookShop,"3,315",POS,False
2024-04-25,Designer Boutique,"4,363",POS,False
2023-11-22,Utility - Water,"1,204",Transfer,False
2023-05-05,Uber,"3,110",UPI,False
2023-01-23,PhonePe,"35,813",Transfer,False
2024-12-27,Ola Cabs,263,Transfer,False
2024-05-21,Jewellery House,"3,430",POS,False
2023-01-01,Subscription - Spotify,"22,729",POS,False
2024-03-15,Amazon India,827,POS,False
2023-07-08,IRCTC,"97,677",Online,True
2023-10-20,Suspicious Store,36,Online,False
2024-06-14,Myntra,"4,808",POS,False
2023-01-17,Subscription - Netflix,"4,885",Contactless,False
2023-02-23,Luxury Outlet,"37,059",Transfer,False
2023-12-20,Amazon India,"1,716",UPI,False
2023-01-16,Ola Cabs,"4,739",Transfer,False
2023-02-19,Pharmacy Plus,"22,273",Transfer,False
2024-04-29,Corner Grocery,"3,942",UPI,False
2023-01-07,Luxury Outlet,227,Online,False
2024-06-19,Local Electronics Store,"38,639",UPI,False
2024-03-26,Subscription - Spotify,"1,708",UPI,False
2023-08-16,Paytm Mall,"43,116",Online,False
2023-05-14,SBI ATM,"2,131",Online,False
2023-06-17,Hotel Taj,"3,649",Online,False
2024-02-26,Pharmacy Plus,"2,267",ATM,False
2024-08-09,Unknown Merchant,"9,285",POS,False
2024-04-22,Local POS Stall,"2,842",Contactless,False
2024-02-26,Zomato,"3,431",Online,False
2024-03-05,Local POS Stall,"2,996",Contactless,False
2024-03-13,Paytm Mall,"3,681",UPI,False
2023-12-27,BookShop,"3,879",Online,False
2023-04-26,Utility - Electricity,"1,356",Online,False
2024-07-13,Uber,"26,726",ATM,True
2023-06-22,Luxury Outlet,"30,734",Transfer,False
2024-04-09,Zomato,"2,350",POS,False
2023-07-11,Zomato,"4,767",UPI,False
2024-05-20,Gold Loan,"1,987",ATM,False
2023-07-24,Subscription - Netflix,184,ATM,False
2023-09-10,Corner Grocery,"1,054",UPI,False
2023-07-14,Cinemaplex,"3,386",Transfer,False
2023-02-10,Subscription - Spotify,"25,480",Contactless,False
2023-08-20,Local POS Stall,"3,623",UPI,False
2023-10-21,Myntra,"3,378",UPI,False
2023-03-17,Subscription - Spotify,"1,031",UPI,False
2024-12-08,Myntra,"4,821",POS,False
2024-06-30,IRCTC,"5,780",Contactless,False
2023-02-04,Subscription - Netflix,"212,171",UPI,False
2024-01-19,Paytm Mall,"2,048",Contactless,False
2023-11-02,Flipkart,882,Online,False
2023-08-11,Swiggy,"2,792",Contactless,False
2024-02-26,Recharge Portal,"3,527",POS,False
2024-06-11,Suspicious Store,"3,145",Contactless,False
2023-12-27,Utility - Water,"2,865",Transfer,False
2024-06-07,Gold Loan,"3,874",Contactless,False
2023-08-01,Luxury Outlet,"3,896",Transfer,False
2023-04-14,Zomato,"3,439",Contactless,False
2023-01-18,Recharge Portal,"25,171",UPI,False
2024-05-15,Gold Loan,"1,065",Contactless,False
2024-01-14,BookShop,"2,269",Online,False
2024-09-13,BookShop,"30,459",Online,False
2024-01-16,Recharge Portal,"1,917",Online,False
2023-03-18,Subscription - Spotify,"4,095",POS,False
2024-04-10,Unknown Merchant,"3,557",Online,True
2023-11-22,Swiggy,687,UPI,False
2023-12-22,Local POS Stall,"10,911",Transfer,False
2023-06-11,Flipkart,"2,403",UPI,False
2024-03-15,BookShop,"21,475",POS,False
2023-11-25,Swiggy,"4,959",ATM,False
2024-12-02,Pharmacy Plus,726,UPI,False
2024-09-22,Subscription - Spotify,"3,917",ATM,False
2024-09-18,Luxury Outlet,"3,486",Contactless,False
2023-12-19,Utility - Water,891,Online,False
2024-01-26,Utility - Electricity,"1,177",ATM,False
2023-01-27,Local POS Stall,"1,460",Transfer,False
2023-06-29,Suspicious Store,"1,227",ATM,False
2024-02-11,Amazon India,223,UPI,False
2023-09-28,Swiggy,99,Transfer,False
2023-03-16,Utility - Water,"3,957",UPI,False
2023-11-19,Utility - Water,"25,832",Transfer,False
2024-11-10,Swiggy,572,Transfer,False
2024-07-03,Utility - Electricity,588,POS,False
2024-06-25,Utility - Water,92,UPI,False
2023-08-27,Jewellery House,"1,028",Transfer,False
2023-03-10,IRCTC,"4,116",Transfer,False
2023-07-14,Jewellery House,"3,291",Online,False
2023-10-28,Recharge Portal,"44,560",Contactless,False
2024-02-20,IRCTC,"1,367",POS,False
2023-01-13,Local POS Stall,105,Online,False
2024-08-12,Subscription - Netflix,"3,777",ATM,False
2023-04-04,Local POS Stall,645,Online,False
2024-11-23,Subscription - Spotify,"3,058",Online,False
2023-11-13,Suspicious Store,"45,969",Contactless,False
2024-01-24,Zomato,"4,713",ATM,False
2024-06-19,Utility - Electricity,550,POS,False
2024-11-17,Myntra,"15,619",ATM,False
2023-09-08,Suspicious Store,962,UPI,False
2023-03-11,Gold Loan,"4,186",Transfer,False
2024-07-24,Swiggy,"9,915",Transfer,False
2024-10-19,Pharmacy Plus,"2,656",UPI,False
2023-03-21,Ola Cabs,"3,683",Transfer,False
2024-07-06,Ola Cabs,"4,522",Transfer,False
2024-02-23,Myntra,"3,904",Transfer,False
2024-02-10,Subscription - Netflix,"1,880",Online,False
2023-10-01,Local Electronics Store,"3,727",UPI,False
2024-11-23,Cinemaplex,"1,026",UPI,False
2023-09-07,Unknown Merchant,"1,489",UPI,False
2024-08-02,IRCTC,"31,674",Contactless,False
2023-08-09,Hotel Taj,"1,332",Online,False
2024-12-02,Utility - Electricity,"3,181",Online,False
2024-04-15,Local Electronics Store,"3,418",ATM,False
2023-08-19,Hotel Taj,"1,217",Contactless,False
2023-10-04,Utility - Electricity,"40,823",UPI,False
2024-05-03,Subscription - Netflix,"1,063",POS,False
2024-04-08,Axis Bank ATM,"25,436",Transfer,False
2024-08-09,Zomato,"4,684",UPI,False
2023-05-19,Axis Bank ATM,"47,257",Transfer,False
2023-07-05,Jewellery House,"4,205",POS,False
2023-10-30,Zomato,"4,334",Transfer,False
2024-08-03,Luxury Outlet,"33,962",Transfer,False
2023-01-16,Paytm Mall,"21,866",ATM,False
2024-01-16,Utility - Electricity,"3,607",Contactless,False
2024-07-05,Axis Bank ATM,"3,639",POS,False
2024-04-17,Jewellery House,763,POS,False
2024-12-07,Myntra,"4,091",POS,False
2023-08-10,Swiggy,"38,652",ATM,False
2024-07-10,Ola Cabs,"3,178",POS,False
2023-05-05,Gold Loan,"3,311",Contactless,False
2023-11-28,Ola Cabs,"1,260",UPI,False
2024-01-28,Local POS Stall,"3,572",POS,False
2023-09-04,SBI ATM,"4,279",Transfer,False
2023-01-23,Swiggy,"1,289",Transfer,False
2024-11-18,Amazon India,"3,767",ATM,False
2024-04-22,Jewellery House,704,Transfer,False
2023-04-08,Local Electronics Store,"3,666",Online,False
2023-08-04,Ola Cabs,"38,159",POS,False
2023-12-19,Hotel Taj,"4,381",ATM,False
2023-07-29,Suspicious Store,"1,506",ATM,False
2024-07-11,Local Electronics Store,"1,512",Transfer,False
2024-04-09,Corner Grocery,"46,891",Contactless,False
2023-07-01,Subscription - Netflix,649,UPI,False
2024-04-10,Local Electronics Store,"1,099",UPI,False
2023-05-04,Ola Cabs,"1,487",UPI,False
2023-07-04,Designer Boutique,"4,426",UPI,False
2023-12-10,Luxury Outlet,"22,695",Contactless,False
2023-12-25,Paytm Mall,"42,805",ATM,False
2024-07-25,Local Electronics Store,"45,500",Online,False
2024-12-29,Uber,"2,405",UPI,False
2023-10-29,Ola Cabs,"2,572",ATM,False
2023-04-10,Uber,"85,295",UPI,False
2023-12-27,Utility - Water,"3,219",Online,False
2024-12-31,Gold Loan,"1,237",Online,False
2024-12-13,Cinemaplex,"3,082",Contactless,False
2024-11-16,Flipkart,"197,632",Online,False
2024-04-10,Axis Bank ATM,953,POS,False
2024-09-12,Designer Boutique,"23,499",POS,False
2024-12-21,Uber,"1,269",ATM,False
2023-10-18,Swiggy,280,Online,False
2023-12-02,Ola Cabs,393,Contactless,False
2023-10-30,Subscription - Netflix,"2,865",POS,False
2024-04-14,BookShop,"1,482",Transfer,False
2023-12-14,Hotel Taj,365,Online,False
2024-03-25,Hotel Taj,"40,830",Transfer,False
2023-05-27,Amazon India,"22,206",UPI,False
2023-11-21,Pharmacy Plus,"4,183",Online,True
2023-06-06,Swiggy,"1,746",Transfer,False
2024-11-01,Utility - Water,"3,435",ATM,False
2024-10-19,Recharge Portal,"2,990",Online,False
2023-09-28,Hotel Taj,"36,650",UPI,False
2024-04-10,Subscription - Spotify,"153,396",ATM,False
2024-07-06,Utility - Water,"12,759",Contactless,False
2024-07-18,Flipkart,"4,038",Contactless,False
2023-11-05,SBI ATM,386,Contactless,False
2023-08-09,Suspicious Store,"2,019",Transfer,False
2023-08-01,Local Electronics Store,"4,710",Contactless,False
2023-03-25,IRCTC,529,POS,False
2024-10-02,Jewellery House,"4,485",UPI,False
2024-12-22,Recharge Portal,"1,665",ATM,False
2023-09-03,Local Electronics Store,588,Contactless,False
2024-02-17,Designer Boutique,"4,218",POS,False
2024-12-05,Luxury Outlet,"17,682",POS,False
2024-04-16,Axis Bank ATM,"36,266",UPI,False
2024-09-06,Recharge Portal,"9,612",Transfer,False
2024-07-17,Hotel Taj,46,ATM,False
2023-04-16,Jewellery House,"3,165",Transfer,False
2024-03-24,Pharmacy Plus,"48,751",UPI,False
2023-12-02,IRCTC,"2,878",Transfer,False
2024-01-15,Flipkart,"4,931",POS,False
2023-02-21,Hotel Taj,"3,057",Online,False
2024-09-18,BigBasket,"3,551",ATM,False
2023-12-15,Suspicious Store,"4,970",Transfer,False
2024-03-27,BigBasket,"1,287",Online,False
2023-12-03,Jewellery House,"2,645",UPI,False
2024-01-22,Myntra,"2,059",Contactless,False
2024-08-24,Paytm Mall,"54,304",ATM,False
2023-12-02,IRCTC,"4,346",POS,False
2023-04-06,Subscription - Spotify,"1,116",Transfer,False
2024-07-20,Cinemaplex,"4,074",POS,False
2023-10-11,Corner Grocery,"3,327",UPI,False
2023-11-18,Jewellery House,"36,148",Transfer,False
2023-03-19,Ola Cabs,"1,867",UPI,False
2023-07-17,Subscription - Spotify,"24,928",Online,False
2023-08-05,Hotel Taj,354,Transfer,False
2023-10-21,BookShop,"14,460",ATM,False
2024-11-18,Subscription - Netflix,489,Online,False
2024-03-16,Suspicious Store,"3,918",POS,True
2023-11-15,Subscription - Netflix,"4,216",Transfer,False
2023-01-29,Swiggy,"297,162",ATM,False
2023-06-04,Recharge Portal,"3,129",Contactless,False
2024-01-05,BigBasket,"3,110",Transfer,False
2023-03-18,Ola Cabs,"1,015",Online,False
2023-03-06,Corner Grocery,986,Transfer,False
2023-11-14,Cinemaplex,"3,427",Online,False
2023-05-20,Gold Loan,"12,271",Contactless,False
2024-08-17,Subscription - Netflix,"4,547",Contactless,False
2024-08-29,Utility - Electricity,"3,899",UPI,False
2023-08-29,Jewellery House,675,ATM,False
